system:index,EVI,NDVI,SR_B1,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,ST_B10,class6,.geo
00000000000000000000_0,0.32320682850718185,0.545143,0.025334999999999996,0.034822500000000006,0.0652375,0.0808025,0.274485,0.2439325,0.144465,319.11827342000004,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.2597423113947,-3.520784437160425]}"
00000000000000000001_0,0.3687912266615171,0.68003273,0.01859749999999999,0.0233825,0.044639999999999985,0.04694999999999999,0.2465175,0.17485250000000002,0.103215,322.45426094,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.26001218330416,-3.521056038801654]}"
00000000000000000002_0,0.46881876057384814,0.7426487,0.01843249999999999,0.023657499999999998,0.05212,0.045685,0.309355,0.187585,0.09977750000000002,324.86738306,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.26028205536996,-3.5213276403959983]}"
00000000000000000003_0,0.32597353202196233,0.591512,0.02313499999999999,0.029102500000000003,0.05451250000000002,0.06347750000000002,0.247315,0.2043875,0.12274000000000002,324.81953078000004,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.259741668407294,-3.5215985961396536]}"
00000000000000000004_0,0.3639416599957045,0.64184314,0.017937499999999995,0.026269999999999988,0.051817500000000016,0.05720750000000002,0.2622475,0.20106000000000002,0.11795499999999998,320.18469566,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25920213915699,-3.5207840063316014]}"
00000000000000000005_0,0.31318085548383173,0.642012,0.013922500000000004,0.01931250000000001,0.04024,0.04738999999999999,0.2173675,0.16445749999999998,0.08522999999999997,322.89860353999995,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25893226759348,-3.52051240451971]}"
00000000000000000006_0,0.3183964381249888,0.5219805,0.025032499999999985,0.038479999999999986,0.07200250000000002,0.0893275,0.2844125,0.27388,0.169435,322.12613102,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25839145150176,-3.521326131987128]}"
00000000000000000007_0,0.2779413610341465,0.5109799,0.025279999999999997,0.0352625,0.06202000000000002,0.07577,0.23411500000000002,0.2506425,0.16107500000000002,322.47818708,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.258121150486545,-3.5215973024107767]}"
00000000000000000008_0,0.3211950811378761,0.5770065,0.02156749999999999,0.031219999999999998,0.05858249999999998,0.06655749999999999,0.24814000000000003,0.22888999999999998,0.14762750000000002,321.09047096,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.258661323060224,-3.5215977339680027]}"
00000000000000000009_0,0.4549884768064002,0.77430475,0.014967499999999995,0.019147499999999984,0.04486000000000001,0.035922499999999996,0.282405,0.1663825,0.08575250000000001,323.91033746,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.259201495700495,-3.5215981652109623]}"
0000000000000000000a_0,0.36604093839034935,0.70702714,0.008862499999999995,0.01697499999999999,0.0413125,0.04128499999999999,0.24054999999999999,0.16165249999999998,0.07791500000000001,321.45961711999996,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25866110838507,-3.5218691202246184]}"
0000000000000000000b_0,0.38748799838293996,0.71566266,0.013592500000000007,0.019147499999999984,0.04285249999999999,0.04189000000000001,0.25276,0.15189000000000002,0.079565,319.80187742,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25812050594194,-3.5224114610758197]}"
0000000000000000000c_0,0.3802780770612077,0.72280145,0.01180500000000001,0.01832249999999999,0.04230249999999999,0.03908500000000001,0.242915,0.15763749999999999,0.08220499999999997,320.27014615999997,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25812007616224,-3.522954233511202]}"
0000000000000000000d_0,0.5497981622400536,0.81669635,0.018460000000000004,0.0205225,0.0448325,0.03438250000000001,0.34076,0.1677575,0.0779975,320.25647408,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[38.25676641172287,-3.527023944635936]}"
